image_id,gel_id,lane_index,lane_type,alias,band_index,x_norm,y_norm,w_norm,h_norm,y_center_norm,height_norm,intensity_norm,confidence,label
20241011_174239.jpg,20241011_174239,1,marker,M1,4,0.026388,0.001745,0.297998,0.997091,0.500291,0.997091,0.888689,0.888689,band
20241011_174239.jpg,20241011_174239,1,marker,M1,5,0.026388,0.03025,0.297998,0.968586,0.514543,0.968586,1.0,1.0,band
20241011_174239.jpg,20241011_174239,2,sample,L2,1,0.353503,0.001163,0.030937,0.998837,0.500582,0.998837,0.442919,0.442919,band
20241011_174239.jpg,20241011_174239,2,sample,L2,2,0.353503,0.001163,0.030937,0.998255,0.500291,0.998255,0.604297,0.604297,band
20241011_174239.jpg,20241011_174239,2,sample,L2,3,0.353503,0.001745,0.030937,0.997091,0.500291,0.997091,0.863904,0.863904,band
20241011_174239.jpg,20241011_174239,2,sample,L2,4,0.353503,0.049447,0.030937,0.949389,0.524142,0.949389,0.97627,0.97627,band
20241011_174239.jpg,20241011_174239,2,sample,L2,5,0.353503,0.036067,0.030937,0.962769,0.517452,0.962769,0.930942,0.930942,band
20241011_174239.jpg,20241011_174239,2,sample,L2,6,0.353503,0.051193,0.030937,0.947644,0.525015,0.947644,0.990538,0.990538,band
20241011_174239.jpg,20241011_174239,2,sample,L2,7,0.353503,0.041885,0.030937,0.956952,0.520361,0.956952,0.940815,0.940815,band
20241011_174239.jpg,20241011_174239,2,sample,L2,8,0.353503,0.051774,0.030937,0.947062,0.525305,0.947062,1.0,1.0,band
20241011_174239.jpg,20241011_174239,3,sample,L3,1,0.390355,0.001163,0.030027,0.998837,0.500582,0.998837,0.442164,0.442164,band
20241011_174239.jpg,20241011_174239,3,sample,L3,2,0.390355,0.04363,0.030027,0.955207,0.521233,0.955207,0.942553,0.942553,band
20241011_174239.jpg,20241011_174239,3,sample,L3,3,0.390355,0.035486,0.030027,0.963351,0.517161,0.963351,0.917444,0.917444,band
20241011_174239.jpg,20241011_174239,3,sample,L3,4,0.390355,0.05701,0.030027,0.941827,0.527923,0.941827,0.995239,0.995239,band
20241011_174239.jpg,20241011_174239,3,sample,L3,5,0.390355,0.045957,0.030027,0.95288,0.522397,0.95288,0.946692,0.946692,band
20241011_174239.jpg,20241011_174239,3,sample,L3,6,0.390355,0.057592,0.030027,0.941245,0.528214,0.941245,1.0,1.0,band
20241011_174239.jpg,20241011_174239,3,sample,L3,7,0.390355,0.001163,0.030027,0.998837,0.500582,0.998837,0.528995,0.528995,band
20241011_174239.jpg,20241011_174239,4,sample,L4,1,0.425842,0.001163,0.030482,0.998837,0.500582,0.998837,0.45997,0.45997,band
20241011_174239.jpg,20241011_174239,4,sample,L4,2,0.425842,0.001745,0.030482,0.997091,0.500291,0.997091,0.884237,0.884237,band
